0,1,2,0.1,1.1,2.1,0.2,1.2,2.2,yb0,yb1,yb2,yb,station,day,hour,clu
2928.975903614458,2417.626506024096,1846.5903614457832,2384.10843373494,2377.277108433735,2377.3453815261046,567.9879518072289,529.0120481927711,479.90361445783134,48.00803212851405,36.44176706827309,18.89156626506024,9.887550200803211,2,0,0,1
2417.626506024096,1846.5903614457832,1482.8875502008032,2377.277108433735,2377.3453815261046,2360.3614457831327,529.0120481927711,479.90361445783134,424.0722891566265,36.44176706827309,18.89156626506024,9.887550200803211,5.72289156626506,2,0,1,1
1846.5903614457832,1482.8875502008032,1347.2329317269075,2377.3453815261046,2360.3614457831327,2340.0883534136547,479.90361445783134,424.0722891566265,394.1004016064257,18.89156626506024,9.887550200803211,5.72289156626506,3.4417670682730925,2,0,2,3
1482.8875502008032,1347.2329317269075,1282.2730923694778,2360.3614457831327,2340.0883534136547,2286.004016064257,424.0722891566265,394.1004016064257,374.9236947791165,9.887550200803211,5.72289156626506,3.4417670682730925,2.1606425702811247,2,0,3,0
1347.2329317269075,1282.2730923694778,1232.429718875502,2340.0883534136547,2286.004016064257,2220.895582329317,394.1004016064257,374.9236947791165,361.6546184738956,5.72289156626506,3.4417670682730925,2.1606425702811247,1.783132530120482,2,0,4,0
1282.2730923694778,1232.429718875502,1204.0682730923695,2286.004016064257,2220.895582329317,2171.5100401606423,374.9236947791165,361.6546184738956,350.86746987951807,3.4417670682730925,2.1606425702811247,1.783132530120482,2.265060240963856,2,0,5,0
1232.429718875502,1204.0682730923695,1190.9036144578313,2220.895582329317,2171.5100401606423,2148.3373493975905,361.6546184738956,350.86746987951807,349.0281124497992,2.1606425702811247,1.783132530120482,2.265060240963856,12.887550200803211,2,0,6,0
1204.0682730923695,1190.9036144578313,1224.879518072289,2171.5100401606423,2148.3373493975905,2147.987951807229,350.86746987951807,349.0281124497992,351.48192771084337,1.783132530120482,2.265060240963856,12.887550200803211,34.94779116465863,2,0,7,0
1190.9036144578313,1224.879518072289,1406.004016064257,2148.3373493975905,2147.987951807229,2170.281124497992,349.0281124497992,351.48192771084337,365.6666666666667,2.265060240963856,12.887550200803211,34.94779116465863,58.967871485943775,2,0,8,3
1224.879518072289,1406.004016064257,1898.706827309237,2147.987951807229,2170.281124497992,2188.847389558233,351.48192771084337,365.6666666666667,385.8955823293173,12.887550200803211,34.94779116465863,58.967871485943775,39.907630522088354,2,0,9,1
1406.004016064257,1898.706827309237,2962.0803212851406,2170.281124497992,2188.847389558233,2094.5100401606423,365.6666666666667,385.8955823293173,426.72289156626505,34.94779116465863,58.967871485943775,39.907630522088354,25.847389558232933,2,0,10,2
1898.706827309237,2962.0803212851406,3687.409638554217,2188.847389558233,2094.5100401606423,2039.6666666666667,385.8955823293173,426.72289156626505,458.5582329317269,58.967871485943775,39.907630522088354,25.847389558232933,21.95582329317269,2,0,11,1
2962.0803212851406,3687.409638554217,3908.534136546185,2094.5100401606423,2039.6666666666667,2042.3654618473893,426.72289156626505,458.5582329317269,488.49397590361446,39.907630522088354,25.847389558232933,21.95582329317269,27.93975903614458,2,0,12,1
3687.409638554217,3908.534136546185,4059.931726907632,2039.6666666666667,2042.3654618473893,2034.124497991968,458.5582329317269,488.49397590361446,515.4738955823293,25.847389558232933,21.95582329317269,27.93975903614458,29.903614457831324,2,0,13,1
3908.534136546185,4059.931726907632,4052.6626506024095,2042.3654618473893,2034.124497991968,2121.562248995984,488.49397590361446,515.4738955823293,549.0963855421687,21.95582329317269,27.93975903614458,29.903614457831324,27.81927710843373,2,0,14,1
