,Predictions,Original
0,7600.4897,8028.599121093749
1,7575.345,7966.14990234375
2,7558.351,7835.53076171875
3,7540.594,7778.131347656251
4,7531.206,7737.171386718749
5,7529.913,7375.1123046875
6,7506.616,7513.2119140625
7,7494.254,7798.221191406249
8,7472.726,7770.741210937499
9,7470.901,7799.0712890625
10,7478.659,7847.590820312499
11,7476.453,7907.64990234375
12,7482.4023,8098.619140624999
13,7492.1875,8085.439453125
14,7498.0073,8131.102120535714
15,7509.301,8176.764787946428
16,7523.4937,8222.427455357143
17,7533.9424,8268.090122767857
18,7541.2173,8313.75279017857
19,7554.426,8359.415457589286
20,7558.9937,8405.078125
21,7569.5044,8514.1474609375
22,7577.0093,8470.578125
23,7584.4414,8621.9375
24,7613.129,8544.107421875
25,7619.3257,8634.578125
26,7633.201,8567.6279296875
27,7666.5312,8713.3876953125
28,7685.751,8799.9873046875
29,7697.949,8706.427734375
30,7713.1074,8708.2578125
31,7723.7285,8782.0576171875
32,7743.499,8837.3076171875
33,7757.87,8978.4765625
34,7785.335,9037.447265625
35,7828.6416,9146.9658203125
36,7858.7114,9066.42578125
37,7897.97,9027.06640625
38,7928.236,9229.15625
39,7942.763,9202.525390625
40,7956.2134,9277.0556640625
41,7977.696,9211.7958984375
42,7991.5723,8977.5068359375
43,8005.141,8765.2880859375
44,8010.175,8847.6181640625
45,8017.448,8887.3271484375
46,8025.932,8897.236328125
47,8042.987,9030.5166015625
48,8062.532,9056.3359375
49,8081.6445,9055.4755859375
50,8096.139,9065.265625
51,8111.9985,9045.5166015625
52,8130.5146,8952.626953125
53,8139.35,8859.3779296875
54,8148.311,8904.197265625
55,8155.631,8757.5576171875
56,8156.985,8806.8173828125
57,8152.6255,9040.716796875
58,8154.704,9014.13671875
59,8155.325,9095.7958984375
60,8161.165,9088.92578125
61,8170.5615,9091.1259765625
62,8175.994,9041.466796875
63,8189.226,9013.06640625
64,8202.915,9134.025390625
65,8221.343,9200.33544921875
66,8245.702,9266.6455078125
67,8264.175,9263.40625
68,8286.779,9090.275390625
69,8298.307,9053.986328125
70,8304.061,8863.078125
71,8308.525,8764.5478515625
72,8302.986,8807.27734375
73,8307.043,8780.177734375
74,8310.653,8619.4580078125
75,8318.413,8508.52734375
76,8322.474,8440.16796875
77,8320.522,8636.4775390625
78,8315.672,8613.927734375
79,8300.173,8636.078125
80,8293.079,8471.587890625
81,8279.287,8434.6376953125
82,8265.165,8348.3173828125
83,8252.345,8304.177734375
84,8242.709,8332.37255859375
85,8236.593,8360.5673828125
86,8230.081,8330.1181640625
87,8230.663,8325.607421875
88,8216.597,8290.337890625
89,8198.872,8210.8076171875
90,8180.6143,8378.84765625
91,8155.79,8278.3974609375
92,8144.8755,8202.8681640625
